,model_name,steps,time_elapsed,final_score,number_of_crashes,varying_wind, wind_strength
0,LCL_FFF_C0FF_1,49989,30.00825,3462.688,0,False,40
1,LCL_FFF_C0FF_1,149959,30.00216,3660.577,0,False,40
2,LCL_FFF_C0FF_1,249965,30.00852,3530.636,0,False,40
3,LCL_FFF_C0FF_1,49989,30.00587,3580.567,0,False,40
4,LCL_FFF_C0FF_1,149959,30.00172,3662.591,0,False,40
5,LCL_FFF_C0FF_1,249965,30.00553,3531.245,0,False,40
6,LCL_FFF_C0FF_1,349939,30.00041,3537.714,1,False,40
7,LCL_FFF_C0FF_1,449980,30.01167,3551.785,0,False,40
8,LCL_FFF_C0FF_1,549948,30.01142,3578.542,0,False,40
9,LCL_FFF_C0FF_1,649980,30.00178,3572.282,0,False,40
10,LCL_FFF_C0FF_1,749948,30.00733,3582.425,0,False,40
11,LCL_FFF_C0FF_1,849980,30.00038,3576.705,0,False,40
12,LCL_FFF_C0FF_1,949948,30.01378,3579.162,0,False,40
13,LCL_FFF_C0FF_1,1000060,30.00762,3578.352,0,False,40
0,LLC_FFF_C0FF_8,49938,30.00441,1808.29,7,False,40
1,LLC_FFF_C0FF_8,149999,30.00137,1731.206,1,False,40
2,LLC_FFF_C0FF_8,249988,30.00544,2439.892,0,False,40
3,LLC_FFF_C0FF_8,349993,30.0026,2776.452,0,False,40
4,LLC_FFF_C0FF_8,449990,30.00192,2537.449,0,False,40
5,LLC_FFF_C0FF_8,549989,30.00409,2649.249,0,False,40
6,LLC_FFF_C0FF_8,649995,30.0003,2861.327,0,False,40
7,LLC_FFF_C0FF_8,749958,30.00201,3226.604,0,False,40
8,LLC_FFF_C0FF_8,849956,30.00449,3397.462,0,False,40
9,LLC_FFF_C0FF_8,949991,30.00288,4084.427,3,False,40
10,LLC_FFF_C0FF_8,1000051,30.00321,5166.087,2,False,40
0,LLL_TFF_P0TF_1,49960,30.00499,2101.608,9,False,40
1,LLL_TFF_P0TF_1,149992,30.00414,2713.372,17,False,40
2,LLL_TFF_P0TF_1,249999,30.00324,2585.443,17,False,40
3,LLL_TFF_P0TF_1,349967,30.00563,2237.49,23,False,40
4,LLL_TFF_P0TF_1,449999,30.00679,1546.932,18,False,40
5,LLL_TFF_P0TF_1,549967,30.00301,2338.215,14,False,40
6,LLL_TFF_P0TF_1,649999,30.00501,3220.789,6,False,40
7,LLL_TFF_P0TF_1,749967,30.002,3490.295,5,False,40
8,LLL_TFF_P0TF_1,849999,30.00235,3532.694,6,False,40
9,LLL_TFF_P0TF_1,949967,30.00405,3583.879,3,False,40
10,LLL_TFF_P0TF_1,1000015,30.00114,3647.688,3,False,40
0,LLC_FFF_C0FF_6,49942,30.00719,2839.783,12,False,40
1,LLC_FFF_C0FF_6,149968,30.00381,3417.49,5,False,40
2,LLC_FFF_C0FF_6,249966,30.01735,2293.926,7,False,40
3,LLC_FFF_C0FF_6,349999,30.001,2721.125,3,False,40
4,LLC_FFF_C0FF_6,449987,30.00608,2405.061,4,False,40
5,LLC_FFF_C0FF_6,549950,30.00426,3483.146,1,False,40
6,LLC_FFF_C0FF_6,649983,30.00251,3576.635,0,False,40
7,LLC_FFF_C0FF_6,749939,30.0025,3594.76,0,False,40
8,LLC_FFF_C0FF_6,849971,30.01171,3610.205,0,False,40
9,LLC_FFF_C0FF_6,949946,30.01023,3609.136,0,False,40
10,LLC_FFF_C0FF_6,1000008,30.00177,3611.777,0,False,40
0,LLL_FFF_P0FF_1,49938,30.0034,3139.922,8,False,40
1,LLL_FFF_P0FF_1,149972,30.00173,3079.152,8,False,40
2,LLL_FFF_P0FF_1,249993,30.00852,3260.471,3,False,40
3,LLL_FFF_P0FF_1,349950,30.0045,3490.404,0,False,40
4,LLL_FFF_P0FF_1,449973,30.00792,3451.587,0,False,40
0,LLC_FFF_C0FF_1,49950,30.00475,3398.464,7,False,40
1,LLC_FFF_C0FF_1,149967,30.00301,4265.031,3,False,40
2,LLC_FFF_C0FF_1,249998,30.00072,3971.094,2,False,40
3,LLC_FFF_C0FF_1,349956,30.00639,4710.908,0,False,40
4,LLC_FFF_C0FF_1,449946,30.00323,4891.219,0,False,40
5,LLC_FFF_C0FF_1,549982,30.01328,5488.379,1,False,40
6,LLC_FFF_C0FF_1,649997,30.00537,6647.34,0,False,40
7,LLC_FFF_C0FF_1,749954,30.01223,7795.652,0,False,40
8,LLC_FFF_C0FF_1,849983,30.00401,7656.71,0,False,40
9,LLC_FFF_C0FF_1,949959,30.00515,8219.394,0,False,40
10,LLC_FFF_C0FF_1,1000016,30.00793,8569.497,0,False,40
0,LCL_TFT_P0TF_1,49971,30.00352,3435.749,1,False,40
1,LCL_TFT_P0TF_1,149946,30.00632,3438.274,0,False,40
2,LCL_TFT_P0TF_1,249936,30.01546,3544.026,0,False,40
3,LCL_TFT_P0TF_1,349968,30.00006,3590.253,0,False,40
4,LCL_TFT_P0TF_1,449936,30.01157,3598.565,0,False,40
5,LCL_TFT_P0TF_1,549968,30.00405,3600.607,0,False,40
6,LCL_TFT_P0TF_1,649936,30.00293,3496.431,0,False,40
7,LCL_TFT_P0TF_1,749968,30.01138,3517.052,0,False,40
8,LCL_TFT_P0TF_1,849936,30.00062,3595.925,0,False,40
9,LCL_TFT_P0TF_1,949968,30.00228,3641.942,3,False,40
10,LCL_TFT_P0TF_1,1000016,30.02581,3393.782,10,False,40
0,LLL_FFT_C0FF_1,49937,15.00396,1867.396,0,False,40
1,LLL_FFT_C0FF_1,149973,15.00256,1829.458,0,False,40
2,LLL_FFT_C0FF_1,249962,15.01326,1834.471,0,False,40
3,LLL_FFT_C0FF_1,349955,15.00425,1326.018,4,False,40
4,LLL_FFT_C0FF_1,449969,15.00021,1373.854,6,False,40
5,LLL_FFT_C0FF_1,549999,15.0007,1272.921,4,False,40
6,LLL_FFT_C0FF_1,649965,15.00731,1472.651,5,False,40
7,LLL_FFT_C0FF_1,749940,15.01622,1440.644,3,False,40
8,LLL_FFT_C0FF_1,849954,15.01215,1428.683,5,False,40
9,LLL_FFT_C0FF_1,949991,15.00117,1405.954,6,False,40
10,LLL_FFT_C0FF_1,1000018,15.01433,1578.202,4,False,40
0,LCL_FFT_P0FF_1,49947,30.00457,3188.831,6,False,40
1,LCL_FFT_P0FF_1,149950,30.00604,3066.387,0,False,40
2,LCL_FFT_P0FF_1,249975,30.0139,3117.656,1,False,40
3,LCL_FFT_P0FF_1,349985,30.00168,3083.562,2,False,40
4,LCL_FFT_P0FF_1,449953,30.02028,3518.805,1,False,40
5,LCL_FFT_P0FF_1,549985,30.00588,3605.975,0,False,40
6,LCL_FFT_P0FF_1,649953,30.00358,3612.695,0,False,40
7,LCL_FFT_P0FF_1,749985,30.00626,3607.6,0,False,40
8,LCL_FFT_P0FF_1,849953,30.00329,3619.613,0,False,40
9,LCL_FFT_P0FF_1,949985,30.00244,3619.825,0,False,40
10,LCL_FFT_P0FF_1,1000033,30.01003,3628.229,0,False,40
0,LLL_FFF_C0TF_1,49939,30.00445,3837.347,4,False,40
1,LLL_FFF_C0TF_1,149961,30.00334,4667.247,7,False,40
2,LLL_FFF_C0TF_1,249969,30.00747,4428.293,5,False,40
3,LLL_FFF_C0TF_1,349946,30.00858,3924.8,2,False,40
4,LLL_FFF_C0TF_1,449956,30.01494,3750.186,0,False,40
5,LLL_FFF_C0TF_1,549988,30.00787,3754.549,0,False,40
6,LLL_FFF_C0TF_1,649956,30.00377,3752.353,0,False,40
7,LLL_FFF_C0TF_1,749988,30.00998,3751.964,0,False,40
8,LLL_FFF_C0TF_1,849956,30.00195,3751.638,0,False,40
9,LLL_FFF_C0TF_1,949988,30.00758,3755.348,0,False,40
10,LLL_FFF_C0TF_1,1000036,30.00428,3754.526,0,False,40
0,LCL_TFF_P0FF_1,49989,30.00375,3386.791,0,False,40
1,LCL_TFF_P0FF_1,149957,30.00259,3591.3,1,False,40
2,LCL_TFF_P0FF_1,249989,30.00394,2871.078,4,False,40
3,LCL_TFF_P0FF_1,349957,30.00643,3417.344,5,False,40
4,LCL_TFF_P0FF_1,449992,30.00035,3646.795,2,False,40
5,LCL_TFF_P0FF_1,549992,30.01053,3661.506,4,False,40
6,LCL_TFF_P0FF_1,649979,30.00753,3511.133,5,False,40
7,LCL_TFF_P0FF_1,749991,30.00536,3634.152,1,False,40
8,LCL_TFF_P0FF_1,849972,30.00257,3680.896,1,False,40
9,LCL_TFF_P0FF_1,949961,30.00454,3510.152,3,False,40
10,LCL_TFF_P0FF_1,1000001,30.00821,3475.985,6,False,40
0,LLC_FFF_C0FF_7,49981,30.01048,3377.991,9,False,40
1,LLC_FFF_C0FF_7,149949,30.01201,3502.0,0,False,40
2,LLC_FFF_C0FF_7,249981,30.00414,3628.87,0,False,40
3,LLC_FFF_C0FF_7,349999,30.00424,3314.758,3,False,40
4,LLC_FFF_C0FF_7,449942,30.00787,3451.314,4,False,40
5,LLC_FFF_C0FF_7,549974,30.0081,3359.938,3,False,40
6,LLC_FFF_C0FF_7,649942,30.00213,3445.484,4,False,40
7,LLC_FFF_C0FF_7,749974,30.00156,3399.572,8,False,40
8,LLC_FFF_C0FF_7,849942,30.00502,3498.385,6,False,40
9,LLC_FFF_C0FF_7,949974,30.0014,3425.734,6,False,40
10,LLC_FFF_C0FF_7,1000022,30.01145,3550.739,3,False,40
0,LLC_FFF_P0TF_1,49950,30.01285,2961.481,7,False,40
1,LLC_FFF_P0TF_1,149945,30.00227,3454.083,2,False,40
2,LLC_FFF_P0TF_1,249977,30.00776,3524.18,1,False,40
3,LLC_FFF_P0TF_1,349945,30.00588,3603.516,1,False,40
4,LLC_FFF_P0TF_1,449984,30.00378,3489.866,0,False,40
5,LLC_FFF_P0TF_1,549937,30.00365,3163.361,5,False,40
6,LLC_FFF_P0TF_1,649989,30.01043,3320.868,5,False,40
7,LLC_FFF_P0TF_1,749961,30.00208,3518.152,2,False,40
8,LLC_FFF_P0TF_1,849999,30.00947,3665.513,2,False,40
9,LLC_FFF_P0TF_1,949958,30.00606,3628.59,3,False,40
10,LLC_FFF_P0TF_1,1000025,30.00108,3593.534,3,False,40
0,LLL_TFF_C0FF_1,49995,30.00605,3363.796,1,False,40
1,LLL_TFF_C0FF_1,149952,30.00016,3071.49,10,False,40
2,LLL_TFF_C0FF_1,249981,30.00083,2764.756,14,False,40
3,LLL_TFF_C0FF_1,349949,30.0051,2814.16,15,False,40
4,LLL_TFF_C0FF_1,449981,30.00379,3115.708,13,False,40
5,LLL_TFF_C0FF_1,549949,30.00223,3373.143,4,False,40
6,LLL_TFF_C0FF_1,649981,30.00319,3616.595,3,False,40
7,LLL_TFF_C0FF_1,749949,30.01076,3636.193,3,False,40
8,LLL_TFF_C0FF_1,849981,30.00434,3666.321,3,False,40
9,LLL_TFF_C0FF_1,949949,30.00257,3506.558,7,False,40
10,LLL_TFF_C0FF_1,1000061,30.00761,3528.361,3,False,40
0,LCL_FFF_P0TF_1,49958,30.00274,2795.248,6,False,40
1,LCL_FFF_P0TF_1,149985,30.00397,2669.165,11,False,40
2,LCL_FFF_P0TF_1,249954,30.00133,2677.12,9,False,40
3,LCL_FFF_P0TF_1,349975,30.00785,3498.603,8,False,40
4,LCL_FFF_P0TF_1,449951,30.00069,3284.495,9,False,40
5,LCL_FFF_P0TF_1,549955,30.00106,2837.824,10,False,40
6,LCL_FFF_P0TF_1,649976,30.00003,3360.075,4,False,40
7,LCL_FFF_P0TF_1,749961,30.01006,2668.165,10,False,40
8,LCL_FFF_P0TF_1,849979,30.00342,3645.897,4,False,40
9,LCL_FFF_P0TF_1,949997,30.0046,3857.658,5,False,40
10,LCL_FFF_P0TF_1,1000033,30.00822,3854.879,4,False,40
0,LLC_FFF_C0FF_9,49999,30.00343,3110.813,7,False,40
1,LLC_FFF_C0FF_9,149955,30.00242,2980.046,5,False,40
2,LLC_FFF_C0FF_9,249987,30.00061,3369.427,6,False,40
