model_name,steps,time_elapsed,final_score,number_of_crashes,varying_wind, wind_strength
CCL_FFF_C0FT_1,49982,30.00386,3388.853,2,False,40
CCL_FFF_C0FT_1,149986,30.00455,3416.248,0,False,40
CCL_FFF_C0FT_1,249954,30.00783,3433.738,0,False,40
CCL_FFF_C0FT_1,349986,30.0081,3624.962,0,False,40
CCL_FFF_C0FT_1,449965,30.0011,3186.327,1,False,40
CCL_FFF_C0FT_1,549996,30.00303,3558.526,3,False,40
CCL_FFF_C0FT_1,649964,30.00359,3639.697,1,False,40
CCL_FFF_C0FT_1,749996,30.00156,3594.319,0,False,40
CCL_FFF_C0FT_1,849947,30.00236,3364.801,1,False,40
CCL_FFF_C0FT_1,949987,30.00424,3615.396,1,False,40
CCL_FFF_C0FT_1,1000062,30.00685,3664.994,1,False,40
