model_name,steps,time_elapsed,final_score,number_of_crashes,varying_wind, wind_strength
CCL_FFF_C0TF_1,49988,30.00182,3595.764,0,False,40
CCL_FFF_C0TF_1,149956,30.00447,3409.116,0,False,40
CCL_FFF_C0TF_1,249988,30.00127,3276.727,2,False,40
CCL_FFF_C0TF_1,349956,30.00116,3564.167,1,False,40
CCL_FFF_C0TF_1,449988,30.00568,3627.831,0,False,40
CCL_FFF_C0TF_1,549999,30.00233,3653.711,0,False,40
CCL_FFF_C0TF_1,649956,30.00662,3694.938,0,False,40
CCL_FFF_C0TF_1,749986,30.00405,3607.151,2,False,40
CCL_FFF_C0TF_1,849979,30.00337,3681.843,2,False,40
CCL_FFF_C0TF_1,949936,30.01387,2900.382,8,False,40
CCL_FFF_C0TF_1,1000026,30.00392,3182.85,8,False,40
