model_name,steps,time_elapsed,final_score,number_of_crashes,varying_wind, wind_strength
CCL_FFF_P0FF_1,49970,30.00305,2572.974,7,False,40
CCL_FFF_P0FF_1,149980,30.00678,3037.886,4,False,40
CCL_FFF_P0FF_1,249990,30.00448,3519.743,4,False,40
CCL_FFF_P0FF_1,349999,30.00111,2934.401,8,False,40
CCL_FFF_P0FF_1,449957,30.00257,3402.804,4,False,40
CCL_FFF_P0FF_1,549990,30.00598,3616.664,4,False,40
CCL_FFF_P0FF_1,649944,30.00038,3546.665,6,False,40
CCL_FFF_P0FF_1,749943,30.0005,3601.803,4,False,40
CCL_FFF_P0FF_1,849985,30.00593,3668.625,2,False,40
CCL_FFF_P0FF_1,949986,30.00743,3624.38,4,False,40
CCL_FFF_P0FF_1,1000033,30.0058,3540.206,6,False,40
