model_name,steps,time_elapsed,final_score,number_of_crashes,varying_wind, wind_strength
CCL_FFF_P0FT_1,49973,30.00112,3559.822,7,False,40
CCL_FFF_P0FT_1,149949,30.01057,3689.011,2,False,40
CCL_FFF_P0FT_1,249996,30.00302,4121.146,0,False,40
CCL_FFF_P0FT_1,349939,30.00752,4429.509,0,False,40
CCL_FFF_P0FT_1,449998,30.00711,4986.588,0,False,40
CCL_FFF_P0FT_1,549963,30.00692,4890.014,0,False,40
CCL_FFF_P0FT_1,649942,30.00636,4789.415,0,False,40
CCL_FFF_P0FT_1,749943,30.00105,5838.213,0,False,40
CCL_FFF_P0FT_1,849984,30.01038,5629.375,0,False,40
CCL_FFF_P0FT_1,949969,30.00528,6261.46,2,False,40
CCL_FFF_P0FT_1,1000050,30.00234,6522.118,0,False,40
