model_name,steps,time_elapsed,final_score,number_of_crashes,varying_wind, wind_strength
CCL_FFF_P0TT_1,49987,30.00412,3402.901,0,False,40
CCL_FFF_P0TT_1,149955,30.00927,3545.12,0,False,40
CCL_FFF_P0TT_1,249987,30.19011,3678.581,0,False,40
CCL_FFF_P0TT_1,349955,30.01397,3661.042,0,False,40
CCL_FFF_P0TT_1,449987,30.00652,3661.858,0,False,40
CCL_FFF_P0TT_1,549952,30.00413,3661.451,0,False,40
CCL_FFF_P0TT_1,649969,30.00368,3660.614,0,False,40
CCL_FFF_P0TT_1,749967,30.0027,3660.119,0,False,40
CCL_FFF_P0TT_1,849999,30.00397,3658.723,0,False,40
CCL_FFF_P0TT_1,949963,30.0004,3640.505,2,False,40
CCL_FFF_P0TT_1,1000037,30.00627,3624.639,1,False,40
