model_name,steps,time_elapsed,final_score,number_of_crashes,varying_wind, wind_strength
CCL_FFT_C0FF_1,49947,30.0022,2766.614,8,False,40
CCL_FFT_C0FF_1,149963,30.00272,2920.007,10,False,40
CCL_FFT_C0FF_1,249960,30.00084,3003.8,10,False,40
CCL_FFT_C0FF_1,349953,30.0054,3321.397,9,False,40
CCL_FFT_C0FF_1,449975,30.00126,3218.386,10,False,40
CCL_FFT_C0FF_1,549944,30.01196,2643.177,9,False,40
CCL_FFT_C0FF_1,649975,30.00814,3419.855,8,False,40
CCL_FFT_C0FF_1,749991,30.00332,3789.849,6,False,40
CCL_FFT_C0FF_1,849980,30.00469,4472.353,2,False,40
CCL_FFT_C0FF_1,949990,30.00891,5311.297,4,False,40
CCL_FFT_C0FF_1,1000015,30.00439,5244.672,2,False,40
