model_name,steps,time_elapsed,final_score,number_of_crashes,varying_wind, wind_strength
CCL_FFT_P0FF_1,49979,15.00646,1714.995,0,False,40
CCL_FFT_P0FF_1,149972,15.00482,1361.416,6,False,40
CCL_FFT_P0FF_1,249999,15.00435,1818.489,5,False,40
CCL_FFT_P0FF_1,349964,15.00841,1806.03,2,False,40
CCL_FFT_P0FF_1,449942,15.00032,1531.361,5,False,40
CCL_FFT_P0FF_1,549997,15.00286,2406.314,0,False,40
CCL_FFT_P0FF_1,649962,15.00795,2192.008,1,False,40
CCL_FFT_P0FF_1,749940,15.00847,2468.338,0,False,40
CCL_FFT_P0FF_1,849995,15.00677,2605.781,0,False,40
CCL_FFT_P0FF_1,949966,15.00895,2643.97,0,False,40
CCL_FFT_P0FF_1,1000031,15.0053,2808.87,1,False,40
