model_name,steps,time_elapsed,final_score,number_of_crashes,varying_wind, wind_strength
CCL_FFT_P0FT_1,49992,30.00666,3286.762,2,False,40
CCL_FFT_P0FT_1,149953,30.00343,3332.641,2,False,40
CCL_FFT_P0FT_1,249945,30.00224,3430.527,3,False,40
CCL_FFT_P0FT_1,349957,30.00226,3460.688,0,False,40
CCL_FFT_P0FT_1,449984,30.00595,3785.422,0,False,40
CCL_FFT_P0FT_1,549941,30.00315,4600.204,0,False,40
CCL_FFT_P0FT_1,649999,30.00485,3641.866,0,False,40
CCL_FFT_P0FT_1,749993,30.00457,3852.327,0,False,40
CCL_FFT_P0FT_1,849968,30.00591,3972.047,0,False,40
CCL_FFT_P0FT_1,949970,30.00536,4727.608,2,False,40
CCL_FFT_P0FT_1,1000023,30.00212,4941.926,3,False,40
