model_name,steps,time_elapsed,final_score,number_of_crashes,varying_wind, wind_strength
CCL_FFT_P0TT_1,49970,15.01767,1800.311,0,False,40
CCL_FFT_P0TT_1,149946,15.02488,1833.732,0,False,40
CCL_FFT_P0TT_1,249972,15.01075,1770.495,3,False,40
CCL_FFT_P0TT_1,349966,15.01124,1698.462,1,False,40
CCL_FFT_P0TT_1,449958,15.01853,1518.92,1,False,40
CCL_FFT_P0TT_1,549990,15.00277,1405.766,4,False,40
CCL_FFT_P0TT_1,649958,15.00438,1754.113,0,False,40
CCL_FFT_P0TT_1,749990,15.02577,1789.883,0,False,40
CCL_FFT_P0TT_1,849958,15.00095,1794.612,0,False,40
CCL_FFT_P0TT_1,949990,15.00365,1796.975,0,False,40
CCL_FFT_P0TT_1,1000038,15.01081,1799.425,0,False,40
