model_name,steps,time_elapsed,final_score,number_of_crashes,varying_wind, wind_strength
CCL_TFF_C0FF_1,49955,30.00827,3074.286,7,False,40
CCL_TFF_C0FF_1,149987,30.00051,3121.042,10,False,40
CCL_TFF_C0FF_1,249955,30.01422,2562.716,17,False,40
CCL_TFF_C0FF_1,349999,30.01173,3299.546,5,False,40
CCL_TFF_C0FF_1,449967,30.00745,3628.03,2,False,40
CCL_TFF_C0FF_1,549999,30.00623,3653.627,4,False,40
CCL_TFF_C0FF_1,649967,30.00634,3528.763,4,False,40
CCL_TFF_C0FF_1,749950,30.00031,3492.135,5,False,40
CCL_TFF_C0FF_1,849956,30.00208,3622.75,3,False,40
CCL_TFF_C0FF_1,949937,30.00115,3670.822,2,False,40
CCL_TFF_C0FF_1,1000023,30.00585,3663.443,2,False,40
