model_name,steps,time_elapsed,final_score,number_of_crashes,varying_wind, wind_strength
CCL_TFF_P0FT_1,49947,30.00601,3365.896,0,False,40
CCL_TFF_P0FT_1,149979,30.00031,3331.558,1,False,40
CCL_TFF_P0FT_1,249941,30.00143,3487.579,0,False,40
CCL_TFF_P0FT_1,349973,30.00137,3489.511,0,False,40
CCL_TFF_P0FT_1,449941,30.00384,3519.485,0,False,40
CCL_TFF_P0FT_1,549973,30.00453,3561.365,0,False,40
CCL_TFF_P0FT_1,649941,30.00119,2752.513,10,False,40
CCL_TFF_P0FT_1,749973,30.006,2716.088,13,False,40
CCL_TFF_P0FT_1,849941,30.00064,3460.139,6,False,40
CCL_TFF_P0FT_1,949973,30.00087,3624.546,4,False,40
CCL_TFF_P0FT_1,1000021,30.0064,3558.821,5,False,40
