model_name,steps,time_elapsed,final_score,number_of_crashes,varying_wind, wind_strength
CCL_TFF_P0TT_1,49970,30.00228,2936.496,6,False,40
CCL_TFF_P0TT_1,149971,30.00159,3134.128,1,False,40
CCL_TFF_P0TT_1,249956,30.00022,3575.407,0,False,40
CCL_TFF_P0TT_1,349949,30.00075,3780.395,0,False,40
CCL_TFF_P0TT_1,449955,30.0018,3838.731,0,False,40
CCL_TFF_P0TT_1,549978,30.00474,3842.171,0,False,40
CCL_TFF_P0TT_1,649946,30.00578,3846.967,0,False,40
CCL_TFF_P0TT_1,749978,30.00299,3848.802,0,False,40
CCL_TFF_P0TT_1,849946,30.00794,3849.413,0,False,40
CCL_TFF_P0TT_1,949978,30.00737,3850.333,0,False,40
CCL_TFF_P0TT_1,1000026,30.00643,3850.971,0,False,40
