model_name,steps,time_elapsed,final_score,number_of_crashes,varying_wind, wind_strength
CLC_FFF_P0FT_1,49970,30.01182,2815.817,4,False,40
CLC_FFF_P0FT_1,149938,30.0051,3331.729,2,False,40
CLC_FFF_P0FT_1,249970,30.01211,3225.606,0,False,40
CLC_FFF_P0FT_1,349938,30.00551,3465.843,0,False,40
CLC_FFF_P0FT_1,449970,30.00304,3511.227,0,False,40
CLC_FFF_P0FT_1,549938,30.00147,3596.567,0,False,40
CLC_FFF_P0FT_1,649951,30.00281,3625.566,0,False,40
CLC_FFF_P0FT_1,749983,30.01052,3621.702,0,False,40
CLC_FFF_P0FT_1,849951,30.00486,3617.356,0,False,40
CLC_FFF_P0FT_1,949983,30.00183,3609.522,0,False,40
CLC_FFF_P0FT_1,1000031,30.00068,3621.694,0,False,40
