model_name,steps,time_elapsed,final_score,number_of_crashes,varying_wind, wind_strength
CLC_TFF_P0FT_1,49967,30.00178,3394.502,2,False,40
CLC_TFF_P0FT_1,149999,30.00189,3371.175,4,False,40
CLC_TFF_P0FT_1,249967,30.00341,3194.827,8,False,40
CLC_TFF_P0FT_1,349999,30.00104,3295.378,3,False,40
CLC_TFF_P0FT_1,449967,30.00925,3513.953,1,False,40
CLC_TFF_P0FT_1,549999,30.00453,3516.678,1,False,40
CLC_TFF_P0FT_1,649967,30.00319,3575.009,4,False,40
CLC_TFF_P0FT_1,749999,30.00036,3546.041,1,False,40
CLC_TFF_P0FT_1,849967,30.00533,3506.995,5,False,40
CLC_TFF_P0FT_1,949999,30.00093,3502.228,4,False,40
CLC_TFF_P0FT_1,1000111,30.00157,3696.398,1,False,40
