model_name,steps,time_elapsed,final_score,number_of_crashes,varying_wind, wind_strength
LCL_FFF_C0FT_1,49964,30.00191,3298.209,6,False,40
LCL_FFF_C0FT_1,149983,30.00178,4112.86,3,False,40
LCL_FFF_C0FT_1,249982,30.00102,4894.04,1,False,40
LCL_FFF_C0FT_1,349978,30.005,4461.424,0,False,40
LCL_FFF_C0FT_1,449946,30.0017,5644.144,1,False,40
LCL_FFF_C0FT_1,549948,30.00618,6418.574,1,False,40
LCL_FFF_C0FT_1,649974,30.02362,7714.056,1,False,40
LCL_FFF_C0FT_1,749986,30.00278,7932.416,2,False,40
LCL_FFF_C0FT_1,849979,30.00309,7422.147,3,False,40
LCL_FFF_C0FT_1,949997,30.00932,5123.844,5,False,40
LCL_FFF_C0FT_1,1000040,30.00069,7015.567,3,False,40
