model_name,steps,time_elapsed,final_score,number_of_crashes,varying_wind, wind_strength
LCL_FFF_C0TF_1,49981,30.00671,3699.413,0,False,40
LCL_FFF_C0TF_1,149982,30.00385,3666.344,0,False,40
LCL_FFF_C0TF_1,249952,30.00469,3211.399,1,False,40
LCL_FFF_C0TF_1,349939,30.00642,3237.148,2,False,40
LCL_FFF_C0TF_1,449971,30.00783,3573.316,0,False,40
LCL_FFF_C0TF_1,549939,30.00725,3624.026,0,False,40
LCL_FFF_C0TF_1,649995,30.00314,3627.935,0,False,40
LCL_FFF_C0TF_1,749979,30.00465,3623.435,0,False,40
LCL_FFF_C0TF_1,849957,30.00451,3622.625,0,False,40
LCL_FFF_C0TF_1,949955,30.00465,3640.836,1,False,40
LCL_FFF_C0TF_1,1000004,30.00412,3647.351,0,False,40
