model_name,steps,time_elapsed,final_score,number_of_crashes,varying_wind, wind_strength
LCL_FFF_C0TT_1,49977,30.01985,2802.438,7,False,40
LCL_FFF_C0TT_1,149977,30.00888,3007.511,9,False,40
LCL_FFF_C0TT_1,249987,30.01242,3701.142,5,False,40
LCL_FFF_C0TT_1,349936,30.00986,4610.521,1,False,40
LCL_FFF_C0TT_1,449958,30.0083,4498.038,0,False,40
LCL_FFF_C0TT_1,549990,30.01334,4064.736,0,False,40
LCL_FFF_C0TT_1,649958,30.00183,4019.179,0,False,40
LCL_FFF_C0TT_1,749990,30.00646,3684.479,0,False,40
LCL_FFF_C0TT_1,849958,30.00112,3612.028,0,False,40
LCL_FFF_C0TT_1,949990,30.00432,3459.54,0,False,40
LCL_FFF_C0TT_1,1000038,30.00055,3565.97,0,False,40
