model_name,steps,time_elapsed,final_score,number_of_crashes,varying_wind, wind_strength
LCL_FFF_P0TF_1,49958,30.00274,2795.248,6,False,40
LCL_FFF_P0TF_1,149985,30.00397,2669.165,11,False,40
LCL_FFF_P0TF_1,249954,30.00133,2677.12,9,False,40
LCL_FFF_P0TF_1,349975,30.00785,3498.603,8,False,40
LCL_FFF_P0TF_1,449951,30.00069,3284.495,9,False,40
LCL_FFF_P0TF_1,549955,30.00106,2837.824,10,False,40
LCL_FFF_P0TF_1,649976,30.00003,3360.075,4,False,40
LCL_FFF_P0TF_1,749961,30.01006,2668.165,10,False,40
LCL_FFF_P0TF_1,849979,30.00342,3645.897,4,False,40
LCL_FFF_P0TF_1,949997,30.0046,3857.658,5,False,40
LCL_FFF_P0TF_1,1000033,30.00822,3854.879,4,False,40
