model_name,steps,time_elapsed,final_score,number_of_crashes,varying_wind, wind_strength
LCL_FFT_C0FF_1,49969,15.00121,1491.977,0,False,40
LCL_FFT_C0FF_1,149957,15.00482,1496.43,6,False,40
LCL_FFT_C0FF_1,249981,15.00078,1382.905,5,False,40
LCL_FFT_C0FF_1,349970,15.00051,1701.813,4,False,40
LCL_FFT_C0FF_1,449972,15.00675,1620.631,3,False,40
LCL_FFT_C0FF_1,549971,15.00827,1944.615,2,False,40
LCL_FFT_C0FF_1,649941,15.00013,1887.583,3,False,40
LCL_FFT_C0FF_1,749976,15.00522,2176.833,1,False,40
LCL_FFT_C0FF_1,849957,15.00222,2073.962,1,False,40
LCL_FFT_C0FF_1,949936,15.00537,1958.366,2,False,40
LCL_FFT_C0FF_1,1000051,15.00767,2102.543,1,False,40
