model_name,steps,time_elapsed,final_score,number_of_crashes,varying_wind, wind_strength
LCL_FFT_C0TT_1,49998,30.00166,3526.905,1,False,40
LCL_FFT_C0TT_1,149993,30.00262,3079.208,3,False,40
LCL_FFT_C0TT_1,249940,30.00723,3192.046,1,False,40
LCL_FFT_C0TT_1,349972,30.00678,3240.472,0,False,40
LCL_FFT_C0TT_1,449940,30.01628,3422.531,0,False,40
LCL_FFT_C0TT_1,549972,30.00535,3332.192,0,False,40
LCL_FFT_C0TT_1,649940,30.00629,3265.696,1,False,40
LCL_FFT_C0TT_1,749972,30.00633,3416.583,1,False,40
LCL_FFT_C0TT_1,849940,30.00367,3560.398,0,False,40
LCL_FFT_C0TT_1,949972,30.01045,3577.185,0,False,40
LCL_FFT_C0TT_1,1000020,30.00507,3575.377,0,False,40
