model_name,steps,time_elapsed,final_score,number_of_crashes,varying_wind, wind_strength
LCL_FFT_P0TT_1,49981,15.00325,1897.166,0,False,40
LCL_FFT_P0TT_1,149978,15.01296,1865.123,0,False,40
LCL_FFT_P0TT_1,249979,15.00433,2407.744,1,False,40
LCL_FFT_P0TT_1,349940,15.00943,1848.584,3,False,40
LCL_FFT_P0TT_1,449975,15.00965,1911.401,0,False,40
LCL_FFT_P0TT_1,549982,15.00788,2687.896,0,False,40
LCL_FFT_P0TT_1,649953,15.00692,3285.52,0,False,40
LCL_FFT_P0TT_1,749943,15.00691,3876.034,0,False,40
LCL_FFT_P0TT_1,849956,15.00921,4228.952,1,False,40
LCL_FFT_P0TT_1,949990,15.00535,4213.433,1,False,40
LCL_FFT_P0TT_1,1000056,15.00259,3931.177,2,False,40
LCL_FFT_P0TT_1,49981,15.00167,1813.62,0,False,40
LCL_FFT_P0TT_1,149978,15.01373,1830.895,0,False,40
LCL_FFT_P0TT_1,249979,15.00545,2189.788,0,False,40
LCL_FFT_P0TT_1,349940,15.0079,2108.398,0,False,40
LCL_FFT_P0TT_1,449975,15.0005,2183.36,0,False,40
LCL_FFT_P0TT_1,549982,15.00148,2503.66,0,False,40
LCL_FFT_P0TT_1,649953,15.00224,3275.432,0,False,40
LCL_FFT_P0TT_1,749943,15.02171,3624.032,1,False,40
LCL_FFT_P0TT_1,849956,15.00714,3569.162,1,False,40
LCL_FFT_P0TT_1,949990,15.00911,3539.13,2,False,40
LCL_FFT_P0TT_1,1000056,15.00404,3998.688,1,False,40
