model_name,steps,time_elapsed,final_score,number_of_crashes,varying_wind, wind_strength
LCL_FTF_C0FF_1,49961,15.00509,1360.005,3,False,40
LCL_FTF_C0FF_1,149949,15.00929,1588.595,3,False,40
LCL_FTF_C0FF_1,249998,15.00703,1285.927,3,False,40
LCL_FTF_C0FF_1,349941,15.00993,1603.34,1,False,40
LCL_FTF_C0FF_1,449985,15.0002,1475.081,2,False,40
LCL_FTF_C0FF_1,549979,15.01171,1448.554,3,False,40
LCL_FTF_C0FF_1,649966,15.00746,1559.042,2,False,40
LCL_FTF_C0FF_1,749997,15.00195,1254.668,4,False,40
LCL_FTF_C0FF_1,849988,15.01236,1693.935,3,False,40
LCL_FTF_C0FF_1,949986,15.00601,1537.375,2,False,40
LCL_FTF_C0FF_1,1000042,15.01208,1603.15,2,False,40
