model_name,steps,time_elapsed,final_score,number_of_crashes,varying_wind, wind_strength
LCL_FTF_P0FF_1,49950,30.00778,3362.953,3,False,40
LCL_FTF_P0FF_1,149946,30.00286,3442.919,3,False,40
LCL_FTF_P0FF_1,249965,30.00978,2916.116,5,False,40
LCL_FTF_P0FF_1,349994,30.00577,3195.956,6,False,40
LCL_FTF_P0FF_1,449981,30.01212,2825.023,5,False,40
LCL_FTF_P0FF_1,549968,30.0085,3178.477,5,False,40
LCL_FTF_P0FF_1,649979,30.01506,3213.261,7,False,40
LCL_FTF_P0FF_1,749978,30.00194,2709.342,8,False,40
LCL_FTF_P0FF_1,849994,30.01098,3350.575,1,False,40
LCL_FTF_P0FF_1,949995,30.01124,2935.161,5,False,40
LCL_FTF_P0FF_1,1000023,30.00333,3175.148,3,False,40
