model_name,steps,time_elapsed,final_score,number_of_crashes,varying_wind, wind_strength
LCL_FTF_P0TT_1,49999,15.00584,1593.051,0,False,40
LCL_FTF_P0TT_1,149987,15.00576,1406.538,4,False,40
LCL_FTF_P0TT_1,249988,15.00241,828.9802,4,False,40
LCL_FTF_P0TT_1,349990,15.01369,1337.387,3,False,40
LCL_FTF_P0TT_1,449980,15.00225,1264.442,5,False,40
LCL_FTF_P0TT_1,549994,15.00877,1530.13,3,False,40
LCL_FTF_P0TT_1,649939,15.00663,1474.293,3,False,40
LCL_FTF_P0TT_1,749984,15.00417,1284.842,5,False,40
LCL_FTF_P0TT_1,849994,15.00862,1383.001,6,False,40
LCL_FTF_P0TT_1,949936,15.00265,1524.19,2,False,40
LCL_FTF_P0TT_1,1000057,15.00649,1450.952,2,False,40
