model_name,steps,time_elapsed,final_score,number_of_crashes,varying_wind, wind_strength
LCL_FTT_C0TT_1,49951,30.00132,2758.981,8,False,40
LCL_FTT_C0TT_1,149989,30.00345,3195.391,18,False,40
LCL_FTT_C0TT_1,249990,30.00219,2923.179,22,False,40
LCL_FTT_C0TT_1,349993,30.01621,2776.718,21,False,40
LCL_FTT_C0TT_1,449999,30.00582,2197.333,20,False,40
LCL_FTT_C0TT_1,549960,30.00319,2315.37,23,False,40
LCL_FTT_C0TT_1,649999,30.00373,2571.434,20,False,40
LCL_FTT_C0TT_1,749971,30.00876,2648.989,21,False,40
LCL_FTT_C0TT_1,849999,30.0037,2393.143,23,False,40
LCL_FTT_C0TT_1,949999,30.00506,2264.953,23,False,40
LCL_FTT_C0TT_1,1000039,30.001,2355.469,23,False,40
