model_name,steps,time_elapsed,final_score,number_of_crashes,varying_wind, wind_strength
LCL_FTT_P0TT_1,49945,15.00004,1434.145,1,False,40
LCL_FTT_P0TT_1,149978,15.01251,1390.574,4,False,40
LCL_FTT_P0TT_1,249994,15.00669,1417.335,12,False,40
LCL_FTT_P0TT_1,349946,15.00106,1204.264,12,False,40
LCL_FTT_P0TT_1,449955,15.00789,1531.5,8,False,40
LCL_FTT_P0TT_1,549991,15.0078,1375.903,10,False,40
LCL_FTT_P0TT_1,649980,15.00424,1602.726,10,False,40
LCL_FTT_P0TT_1,749999,15.00844,1366.984,9,False,40
LCL_FTT_P0TT_1,849991,15.01079,930.5363,9,False,40
LCL_FTT_P0TT_1,949967,15.00477,1338.44,12,False,40
LCL_FTT_P0TT_1,1000001,15.00911,1443.421,10,False,40
