model_name,steps,time_elapsed,final_score,number_of_crashes,varying_wind, wind_strength
LCL_TFF_P0FF_1,49989,30.00375,3386.791,0,False,40
LCL_TFF_P0FF_1,149957,30.00259,3591.3,1,False,40
LCL_TFF_P0FF_1,249989,30.00394,2871.078,4,False,40
LCL_TFF_P0FF_1,349957,30.00643,3417.344,5,False,40
LCL_TFF_P0FF_1,449992,30.00035,3646.795,2,False,40
LCL_TFF_P0FF_1,549992,30.01053,3661.506,4,False,40
LCL_TFF_P0FF_1,649979,30.00753,3511.133,5,False,40
LCL_TFF_P0FF_1,749991,30.00536,3634.152,1,False,40
LCL_TFF_P0FF_1,849972,30.00257,3680.896,1,False,40
LCL_TFF_P0FF_1,949961,30.00454,3510.152,3,False,40
LCL_TFF_P0FF_1,1000001,30.00821,3475.985,6,False,40
