model_name,steps,time_elapsed,final_score,number_of_crashes,varying_wind, wind_strength
LCL_TFF_P0TF_1,49987,30.01332,3463.461,0,False,40
LCL_TFF_P0TF_1,149955,30.00574,3114.841,5,False,40
LCL_TFF_P0TF_1,249951,30.00369,3425.687,1,False,40
LCL_TFF_P0TF_1,349983,30.00542,3657.172,0,False,40
LCL_TFF_P0TF_1,449951,30.00269,3664.675,0,False,40
LCL_TFF_P0TF_1,549983,30.00296,3670.126,0,False,40
LCL_TFF_P0TF_1,649951,30.00005,2789.761,11,False,40
LCL_TFF_P0TF_1,749983,30.0062,2755.071,19,False,40
LCL_TFF_P0TF_1,849951,30.00455,3037.16,13,False,40
LCL_TFF_P0TF_1,949983,30.00474,3215.222,8,False,40
LCL_TFF_P0TF_1,1000031,30.00139,3327.956,9,False,40
