model_name,steps,time_elapsed,final_score,number_of_crashes,varying_wind, wind_strength
LCL_TFT_C0FF_1,49993,15.01025,1660.729,0,False,40
LCL_TFT_C0FF_1,149992,15.00304,1717.239,0,False,40
LCL_TFT_C0FF_1,249967,15.00307,2791.982,3,False,40
LCL_TFT_C0FF_1,349972,15.00363,2013.804,7,False,40
LCL_TFT_C0FF_1,449978,15.01161,1528.615,2,False,40
LCL_TFT_C0FF_1,549993,15.00732,1680.136,0,False,40
LCL_TFT_C0FF_1,649961,15.01226,1711.333,0,False,40
LCL_TFT_C0FF_1,749993,15.00051,1773.739,0,False,40
LCL_TFT_C0FF_1,849961,15.00198,1808.817,0,False,40
LCL_TFT_C0FF_1,949993,15.0005,1810.869,0,False,40
LCL_TFT_C0FF_1,1000041,15.00867,1814.939,0,False,40
