model_name,steps,time_elapsed,final_score,number_of_crashes,varying_wind, wind_strength
LCL_TFT_C0TT_1,49998,30.00063,3407.604,6,False,40
LCL_TFT_C0TT_1,149944,30.01135,3355.204,0,False,40
LCL_TFT_C0TT_1,249998,30.00335,3550.812,0,False,40
LCL_TFT_C0TT_1,349966,30.00675,3605.692,0,False,40
LCL_TFT_C0TT_1,449998,30.0042,3610.054,0,False,40
LCL_TFT_C0TT_1,549966,30.00053,3610.531,0,False,40
LCL_TFT_C0TT_1,649998,30.0077,3610.747,0,False,40
LCL_TFT_C0TT_1,749966,30.00198,3608.907,0,False,40
LCL_TFT_C0TT_1,849998,30.00439,3581.013,0,False,40
LCL_TFT_C0TT_1,949966,30.00722,3302.269,2,False,40
LCL_TFT_C0TT_1,1000014,30.00289,3581.727,2,False,40
