model_name,steps,time_elapsed,final_score,number_of_crashes,varying_wind, wind_strength
LCL_TFT_P0FF_1,49991,15.00047,1596.902,1,False,40
LCL_TFT_P0FF_1,149998,15.00678,2001.535,3,False,40
LCL_TFT_P0FF_1,249967,15.00401,1827.916,3,False,40
LCL_TFT_P0FF_1,349956,15.01253,1739.456,2,False,40
LCL_TFT_P0FF_1,449988,15.00558,1691.411,4,False,40
LCL_TFT_P0FF_1,549956,15.00757,1160.963,3,False,40
LCL_TFT_P0FF_1,649988,15.00698,1338.739,3,False,40
LCL_TFT_P0FF_1,749956,15.00378,1562.883,2,False,40
LCL_TFT_P0FF_1,849988,15.01307,1649.212,2,False,40
LCL_TFT_P0FF_1,949956,15.0062,1662.99,3,False,40
LCL_TFT_P0FF_1,1000004,15.00354,1278.388,5,False,40
