model_name,steps,time_elapsed,final_score,number_of_crashes,varying_wind, wind_strength
LCL_TFT_P0TF_1,49971,30.00352,3435.749,1,False,40
LCL_TFT_P0TF_1,149946,30.00632,3438.274,0,False,40
LCL_TFT_P0TF_1,249936,30.01546,3544.026,0,False,40
LCL_TFT_P0TF_1,349968,30.00006,3590.253,0,False,40
LCL_TFT_P0TF_1,449936,30.01157,3598.565,0,False,40
LCL_TFT_P0TF_1,549968,30.00405,3600.607,0,False,40
LCL_TFT_P0TF_1,649936,30.00293,3496.431,0,False,40
LCL_TFT_P0TF_1,749968,30.01138,3517.052,0,False,40
LCL_TFT_P0TF_1,849936,30.00062,3595.925,0,False,40
LCL_TFT_P0TF_1,949968,30.00228,3641.942,3,False,40
LCL_TFT_P0TF_1,1000016,30.02581,3393.782,10,False,40
