model_name,steps,time_elapsed,final_score,number_of_crashes,varying_wind, wind_strength
LCL_TFT_P0TT_1,49981,15.0092,1576.701,1,False,40
LCL_TFT_P0TT_1,149998,15.00908,1452.615,1,False,40
LCL_TFT_P0TT_1,249947,15.00856,1611.756,3,False,40
LCL_TFT_P0TT_1,349959,15.00443,1755.326,0,False,40
LCL_TFT_P0TT_1,449984,15.01254,1772.907,2,False,40
LCL_TFT_P0TT_1,549968,15.00083,1745.758,0,False,40
LCL_TFT_P0TT_1,649941,15.00135,1769.314,0,False,40
LCL_TFT_P0TT_1,749973,15.00113,1823.649,0,False,40
LCL_TFT_P0TT_1,849941,15.00533,1830.625,0,False,40
LCL_TFT_P0TT_1,949973,15.00845,1830.959,0,False,40
LCL_TFT_P0TT_1,1000021,15.00535,1830.647,0,False,40
