model_name,steps,time_elapsed,final_score,number_of_crashes,varying_wind, wind_strength
LLC_FFF_C0FF_10,49999,30.00488,2941.634,6,False,40
LLC_FFF_C0FF_10,149986,30.01236,3144.92,10,False,40
LLC_FFF_C0FF_10,249948,30.00777,2872.331,9,False,40
LLC_FFF_C0FF_10,349989,30.00706,2850.317,8,False,40
LLC_FFF_C0FF_10,449948,30.00801,2616.977,9,False,40
LLC_FFF_C0FF_10,549944,30.00107,4448.778,1,False,40
LLC_FFF_C0FF_10,649942,30.00018,4461.91,0,False,40
LLC_FFF_C0FF_10,749974,30.00454,4906.723,0,False,40
LLC_FFF_C0FF_10,849985,30.01003,5494.05,0,False,40
LLC_FFF_C0FF_10,949954,30.00324,6465.794,1,False,40
LLC_FFF_C0FF_10,1000023,30.00423,6692.167,0,False,40
LLC_FFF_C0FF_10,49999,30.00661,2890.792,7,False,40
LLC_FFF_C0FF_10,149986,30.00499,2858.801,10,False,40
LLC_FFF_C0FF_10,249948,30.0034,3662.766,8,False,40
LLC_FFF_C0FF_10,349989,30.00345,3679.399,6,False,40
LLC_FFF_C0FF_10,449948,30.00748,5035.335,2,False,40
LLC_FFF_C0FF_10,549944,30.00885,3450.389,2,False,40
LLC_FFF_C0FF_10,649942,30.00287,4227.157,2,False,40
LLC_FFF_C0FF_10,749974,30.00699,4874.675,0,False,40
LLC_FFF_C0FF_10,849985,30.00819,5431.895,0,False,40
LLC_FFF_C0FF_10,949954,30.01199,6381.967,0,False,40
LLC_FFF_C0FF_10,1000023,30.00047,6986.721,2,False,40
LLC_FFF_C0FF_10,49999,30.00096,2693.21,8,False,40
LLC_FFF_C0FF_10,149986,30.00409,2692.844,11,False,40
LLC_FFF_C0FF_10,249948,30.01714,3578.481,9,False,40
LLC_FFF_C0FF_10,349989,30.00507,3570.541,7,False,40
LLC_FFF_C0FF_10,449948,30.00497,4399.583,4,False,40
LLC_FFF_C0FF_10,549944,30.00646,3323.863,4,False,40
LLC_FFF_C0FF_10,649942,30.01332,4224.232,0,False,40
LLC_FFF_C0FF_10,749974,30.00464,4765.848,0,False,40
LLC_FFF_C0FF_10,849985,30.00044,5192.891,0,False,40
LLC_FFF_C0FF_10,949954,30.00355,6531.585,0,False,40
LLC_FFF_C0FF_10,1000023,30.01308,6593.396,0,False,40
LLC_FFF_C0FF_10,49999,30.00405,2868.25,7,False,40
LLC_FFF_C0FF_10,149986,30.0012,2557.148,14,False,40
LLC_FFF_C0FF_10,249948,30.00679,3660.502,7,False,40
LLC_FFF_C0FF_10,349989,30.0094,3694.874,9,False,40
LLC_FFF_C0FF_10,449948,30.00466,3304.036,5,False,40
LLC_FFF_C0FF_10,549944,30.00672,4254.368,1,False,40
LLC_FFF_C0FF_10,649942,30.00695,4213.157,1,False,40
LLC_FFF_C0FF_10,749974,30.00667,4724.366,0,False,40
LLC_FFF_C0FF_10,849985,30.00293,5226.636,0,False,40
LLC_FFF_C0FF_10,949954,30.00352,6637.088,0,False,40
LLC_FFF_C0FF_10,1000023,30.00512,6648.105,0,False,40
LLC_FFF_C0FF_10,49999,30.00149,2684.018,8,False,40
LLC_FFF_C0FF_10,149986,30.00683,3553.903,5,False,40
LLC_FFF_C0FF_10,249948,30.00123,3273.735,11,False,40
LLC_FFF_C0FF_10,349989,30.00505,3905.091,7,False,40
LLC_FFF_C0FF_10,449948,30.00378,4754.926,1,False,40
LLC_FFF_C0FF_10,549944,30.00053,3885.018,4,False,40
LLC_FFF_C0FF_10,649942,30.00459,4554.456,0,False,40
LLC_FFF_C0FF_10,749974,30.00949,4820.806,0,False,40
LLC_FFF_C0FF_10,849985,30.00344,5684.865,0,False,40
LLC_FFF_C0FF_10,949954,30.00556,5930.094,5,False,40
LLC_FFF_C0FF_10,1000023,30.00054,5821.947,5,False,40
LLC_FFF_C0FF_10,49999,30.01289,2755.558,7,False,40
LLC_FFF_C0FF_10,149986,30.00499,2716.282,13,False,40
LLC_FFF_C0FF_10,249948,30.00356,3117.197,8,False,40
LLC_FFF_C0FF_10,349989,30.00219,3660.491,8,False,40
LLC_FFF_C0FF_10,449948,30.00402,4986.146,1,False,40
LLC_FFF_C0FF_10,549944,30.00064,3713.163,2,False,40
LLC_FFF_C0FF_10,649942,30.01014,4171.862,2,False,40
LLC_FFF_C0FF_10,749974,30.00852,4623.209,0,False,40
LLC_FFF_C0FF_10,849985,30.00257,5199.499,0,False,40
LLC_FFF_C0FF_10,949954,30.01008,6313.044,0,False,40
LLC_FFF_C0FF_10,1000023,30.00124,6309.429,3,False,40
LLC_FFF_C0FF_10,49999,30.01663,3160.701,6,False,40
LLC_FFF_C0FF_10,149986,30.00273,2877.85,10,False,40
LLC_FFF_C0FF_10,249948,30.00383,3668.358,9,False,40
LLC_FFF_C0FF_10,349989,30.00011,3244.681,9,False,40
LLC_FFF_C0FF_10,449948,30.00694,4139.707,3,False,40
LLC_FFF_C0FF_10,549944,30.00049,4047.009,2,False,40
LLC_FFF_C0FF_10,649942,30.00273,4412.517,1,False,40
LLC_FFF_C0FF_10,749974,30.00512,4871.884,0,False,40
LLC_FFF_C0FF_10,849985,30.00614,5177.33,0,False,40
LLC_FFF_C0FF_10,949954,30.00066,6409.841,1,False,40
LLC_FFF_C0FF_10,1000023,30.00863,6411.651,0,False,40
LLC_FFF_C0FF_10,49999,30.0022,2885.399,7,False,40
LLC_FFF_C0FF_10,149986,30.00341,3135.93,10,False,40
LLC_FFF_C0FF_10,249948,30.00343,3520.262,6,False,40
LLC_FFF_C0FF_10,349989,30.00329,3026.897,5,False,40
LLC_FFF_C0FF_10,449948,30.02499,4273.116,4,False,40
LLC_FFF_C0FF_10,549944,30.02002,3916.974,2,False,40
LLC_FFF_C0FF_10,649942,30.0023,4566.966,0,False,40
LLC_FFF_C0FF_10,749974,30.00483,4681.063,0,False,40
LLC_FFF_C0FF_10,849985,30.00792,5153.183,0,False,40
LLC_FFF_C0FF_10,949954,30.00439,6099.705,0,False,40
LLC_FFF_C0FF_10,1000023,30.01026,6052.2,2,False,40
LLC_FFF_C0FF_10,49999,30.00637,3041.637,8,False,40
LLC_FFF_C0FF_10,149986,30.00777,2794.037,9,False,40
LLC_FFF_C0FF_10,249948,30.00241,3814.095,8,False,40
LLC_FFF_C0FF_10,349989,30.00324,2375.095,8,False,40
LLC_FFF_C0FF_10,449948,30.00116,3954.444,2,False,40
LLC_FFF_C0FF_10,549944,30.0059,3682.749,3,False,40
LLC_FFF_C0FF_10,649942,30.00401,4244.073,2,False,40
LLC_FFF_C0FF_10,749974,30.00888,4707.694,0,False,40
LLC_FFF_C0FF_10,849985,30.00674,5437.013,0,False,40
LLC_FFF_C0FF_10,949954,30.01391,6369.413,1,False,40
LLC_FFF_C0FF_10,1000023,30.00448,6609.146,1,False,40
