model_name,steps,time_elapsed,final_score,number_of_crashes,varying_wind, wind_strength
LLC_FFF_C0FT_1,49961,30.00514,3331.844,7,False,40
LLC_FFF_C0FT_1,149993,30.00466,3705.703,3,False,40
LLC_FFF_C0FT_1,249961,30.00432,3483.772,1,False,40
LLC_FFF_C0FT_1,349949,30.00782,3615.509,0,False,40
LLC_FFF_C0FT_1,449978,30.00254,3589.707,0,False,40
LLC_FFF_C0FT_1,549952,30.00961,3625.834,1,False,40
LLC_FFF_C0FT_1,649987,30.00536,3642.889,0,False,40
LLC_FFF_C0FT_1,749963,30.00577,3648.342,0,False,40
LLC_FFF_C0FT_1,849995,30.01217,3642.781,0,False,40
LLC_FFF_C0FT_1,949963,30.01217,3647.258,0,False,40
LLC_FFF_C0FT_1,1000011,30.00878,3647.21,0,False,40
