model_name,steps,time_elapsed,final_score,number_of_crashes,varying_wind, wind_strength
LLC_FFF_C0TF_1,49977,30.00103,3010.125,6,False,40
LLC_FFF_C0TF_1,149946,30.00168,3266.879,3,False,40
LLC_FFF_C0TF_1,249936,30.00176,2383.131,2,False,40
LLC_FFF_C0TF_1,349968,30.00411,3069.743,5,False,40
LLC_FFF_C0TF_1,449936,30.01231,3093.805,3,False,40
LLC_FFF_C0TF_1,549983,30.0046,3596.335,0,False,40
LLC_FFF_C0TF_1,649951,30.00892,3598.606,0,False,40
LLC_FFF_C0TF_1,749983,30.00651,3601.222,0,False,40
LLC_FFF_C0TF_1,849951,30.00366,3596.846,0,False,40
LLC_FFF_C0TF_1,949983,30.02488,3601.97,0,False,40
LLC_FFF_C0TF_1,1000095,30.00186,3598.739,0,False,40
