model_name,steps,time_elapsed,final_score,number_of_crashes,varying_wind, wind_strength
LLC_FFF_C0TT_1,49964,30.00831,3279.569,5,False,40
LLC_FFF_C0TT_1,149950,30.0019,4488.125,4,False,40
LLC_FFF_C0TT_1,249970,30.00037,4535.361,2,False,40
LLC_FFF_C0TT_1,349945,30.00722,4836.303,2,False,40
LLC_FFF_C0TT_1,449972,30.0057,4686.958,1,False,40
LLC_FFF_C0TT_1,549960,30.01161,4747.283,0,False,40
LLC_FFF_C0TT_1,649996,30.0043,6339.679,0,False,40
LLC_FFF_C0TT_1,749971,30.00279,6922.794,1,False,40
LLC_FFF_C0TT_1,849969,30.01454,8553.109,0,False,40
LLC_FFF_C0TT_1,949941,30.00238,7612.841,5,False,40
LLC_FFF_C0TT_1,1000023,30.00463,7949.128,3,False,40
