model_name,steps,time_elapsed,final_score,number_of_crashes,varying_wind, wind_strength
LLC_FFF_P0FF_1,49947,30.00915,3777.317,2,False,40
LLC_FFF_P0FF_1,149992,30.00242,4263.606,2,False,40
LLC_FFF_P0FF_1,249982,30.00323,4428.642,0,False,40
LLC_FFF_P0FF_1,349974,30.00388,5050.061,7,False,40
LLC_FFF_P0FF_1,449965,30.00046,4008.004,7,False,40
LLC_FFF_P0FF_1,549987,30.00856,4957.35,6,False,40
LLC_FFF_P0FF_1,649943,30.00764,5525.938,5,False,40
LLC_FFF_P0FF_1,749956,30.00718,6481.311,2,False,40
LLC_FFF_P0FF_1,849994,30.00039,7463.831,3,False,40
LLC_FFF_P0FF_1,949961,30.00217,4736.116,5,False,40
LLC_FFF_P0FF_1,1000011,30.00243,5807.982,0,False,40
