model_name,steps,time_elapsed,final_score,number_of_crashes,varying_wind, wind_strength
LLC_FFF_P0FT_1,49999,30.00586,4671.219,3,False,40
LLC_FFF_P0FT_1,149945,30.00425,5778.18,4,False,40
LLC_FFF_P0FT_1,249942,30.00703,6085.619,4,False,40
LLC_FFF_P0FT_1,349936,30.01388,6204.489,4,False,40
LLC_FFF_P0FT_1,449957,30.01023,7077.654,4,False,40
LLC_FFF_P0FT_1,549962,30.00541,7344.492,2,False,40
LLC_FFF_P0FT_1,649959,30.0131,8197.665,2,False,40
LLC_FFF_P0FT_1,749939,30.00858,8563.909,0,False,40
LLC_FFF_P0FT_1,849981,30.00303,8762.563,3,False,40
LLC_FFF_P0FT_1,949986,30.00139,9088.448,4,False,40
LLC_FFF_P0FT_1,1000023,30.00191,8862.3,4,False,40
