model_name,steps,time_elapsed,final_score,number_of_crashes,varying_wind, wind_strength
LLC_FFF_P0TF_1,49950,30.01285,2961.481,7,False,40
LLC_FFF_P0TF_1,149945,30.00227,3454.083,2,False,40
LLC_FFF_P0TF_1,249977,30.00776,3524.18,1,False,40
LLC_FFF_P0TF_1,349945,30.00588,3603.516,1,False,40
LLC_FFF_P0TF_1,449984,30.00378,3489.866,0,False,40
LLC_FFF_P0TF_1,549937,30.00365,3163.361,5,False,40
LLC_FFF_P0TF_1,649989,30.01043,3320.868,5,False,40
LLC_FFF_P0TF_1,749961,30.00208,3518.152,2,False,40
LLC_FFF_P0TF_1,849999,30.00947,3665.513,2,False,40
LLC_FFF_P0TF_1,949958,30.00606,3628.59,3,False,40
LLC_FFF_P0TF_1,1000025,30.00108,3593.534,3,False,40
