model_name,steps,time_elapsed,final_score,number_of_crashes,varying_wind, wind_strength
LLL_FFF_C0FF_1,49944,30.01029,2948.725,5,False,40
LLL_FFF_C0FF_1,149974,30.009,2503.174,6,False,40
LLL_FFF_C0FF_1,249995,30.00232,3863.921,1,False,40
LLL_FFF_C0FF_1,349975,30.00627,3621.033,0,False,40
LLL_FFF_C0FF_1,449996,30.00699,3851.041,1,False,40
LLL_FFF_C0FF_1,549976,30.0064,3232.17,0,False,40
LLL_FFF_C0FF_1,649961,30.00614,3881.379,2,False,40
LLL_FFF_C0FF_1,749993,30.00226,3748.967,0,False,40
LLL_FFF_C0FF_1,849961,30.0076,4090.701,2,False,40
LLL_FFF_C0FF_1,949993,30.00592,3777.367,3,False,40
LLL_FFF_C0FF_1,1000041,30.00967,3960.137,0,False,40
