model_name,steps,time_elapsed,final_score,number_of_crashes,varying_wind, wind_strength
LLL_FFF_C0FT_1,49999,30.00333,4178.575,2,False,40
LLL_FFF_C0FT_1,149962,30.00257,5950.845,1,False,40
LLL_FFF_C0FT_1,249961,30.00058,4565.685,2,False,40
LLL_FFF_C0FT_1,349957,30.00473,4870.885,0,False,40
LLL_FFF_C0FT_1,449945,30.00205,6965.889,1,False,40
LLL_FFF_C0FT_1,549958,30.00634,7101.06,2,False,40
LLL_FFF_C0FT_1,649991,30.00506,7269.855,1,False,40
LLL_FFF_C0FT_1,749946,30.00109,7556.889,4,False,40
LLL_FFF_C0FT_1,849955,30.0044,6905.912,3,False,40
LLL_FFF_C0FT_1,949997,30.00252,7662.497,1,False,40
LLL_FFF_C0FT_1,1000036,30.0058,7694.242,0,False,40
