model_name,steps,time_elapsed,final_score,number_of_crashes,varying_wind, wind_strength
LLL_FFF_C0TT_1,49982,30.00223,3342.992,3,False,40
LLL_FFF_C0TT_1,149967,30.00879,3266.427,13,False,40
LLL_FFF_C0TT_1,249961,30.00357,3235.591,7,False,40
LLL_FFF_C0TT_1,349993,30.01027,3228.448,4,False,40
LLL_FFF_C0TT_1,449961,30.00381,3398.127,1,False,40
LLL_FFF_C0TT_1,549993,30.0007,3357.814,3,False,40
LLL_FFF_C0TT_1,649988,30.01135,3353.698,3,False,40
LLL_FFF_C0TT_1,749954,30.00507,3653.139,0,False,40
LLL_FFF_C0TT_1,849963,30.00617,3474.128,0,False,40
LLL_FFF_C0TT_1,949995,30.00194,3586.477,0,False,40
LLL_FFF_C0TT_1,1000043,30.01213,3612.946,0,False,40
