model_name,steps,time_elapsed,final_score,number_of_crashes,varying_wind, wind_strength
LLL_FFF_P0FT_1,49955,30.00338,3178.147,1,False,40
LLL_FFF_P0FT_1,149987,30.00824,3531.846,0,False,40
LLL_FFF_P0FT_1,249955,30.00614,3611.535,0,False,40
LLL_FFF_P0FT_1,349985,30.00027,3617.606,0,False,40
LLL_FFF_P0FT_1,449988,30.00566,3605.517,0,False,40
LLL_FFF_P0FT_1,549985,30.00062,3617.877,0,False,40
LLL_FFF_P0FT_1,649996,30.00693,3658.85,3,False,40
LLL_FFF_P0FT_1,749960,30.00368,3386.421,4,False,40
LLL_FFF_P0FT_1,849983,30.00086,3476.576,1,False,40
LLL_FFF_P0FT_1,949973,30.00149,3541.03,4,False,40
LLL_FFF_P0FT_1,1000012,30.00378,3572.206,2,False,40
