model_name,steps,time_elapsed,final_score,number_of_crashes,varying_wind, wind_strength
LLL_FFF_P0TF_1,49966,30.00421,3229.3,5,False,40
LLL_FFF_P0TF_1,149998,30.00066,3732.635,6,False,40
LLL_FFF_P0TF_1,249966,30.00107,3559.685,3,False,40
LLL_FFF_P0TF_1,349998,30.00397,3617.815,0,False,40
LLL_FFF_P0TF_1,449972,30.00509,3628.673,0,False,40
LLL_FFF_P0TF_1,549997,30.01397,3592.917,0,False,40
LLL_FFF_P0TF_1,649979,30.0055,3616.774,1,False,40
LLL_FFF_P0TF_1,749988,30.01165,3594.346,3,False,40
LLL_FFF_P0TF_1,849942,30.0003,3708.631,0,False,40
LLL_FFF_P0TF_1,949945,30.01065,3618.986,2,False,40
LLL_FFF_P0TF_1,1000095,30.00125,3579.161,3,False,40
