model_name,steps,time_elapsed,final_score,number_of_crashes,varying_wind, wind_strength
LLL_FFT_C0FF_1,49937,15.00396,1867.396,0,False,40
LLL_FFT_C0FF_1,149973,15.00256,1829.458,0,False,40
LLL_FFT_C0FF_1,249962,15.01326,1834.471,0,False,40
LLL_FFT_C0FF_1,349955,15.00425,1326.018,4,False,40
LLL_FFT_C0FF_1,449969,15.00021,1373.854,6,False,40
LLL_FFT_C0FF_1,549999,15.0007,1272.921,4,False,40
LLL_FFT_C0FF_1,649965,15.00731,1472.651,5,False,40
LLL_FFT_C0FF_1,749940,15.01622,1440.644,3,False,40
LLL_FFT_C0FF_1,849954,15.01215,1428.683,5,False,40
LLL_FFT_C0FF_1,949991,15.00117,1405.954,6,False,40
LLL_FFT_C0FF_1,1000018,15.01433,1578.202,4,False,40
