model_name,steps,time_elapsed,final_score,number_of_crashes,varying_wind, wind_strength
LLL_FFT_C0TT_1,49951,30.0066,3242.543,7,False,40
LLL_FFT_C0TT_1,149947,30.00423,3546.385,5,False,40
LLL_FFT_C0TT_1,249994,30.00462,3328.287,5,False,40
LLL_FFT_C0TT_1,349936,30.00365,3340.889,3,False,40
LLL_FFT_C0TT_1,449985,30.00007,3369.535,4,False,40
LLL_FFT_C0TT_1,549975,30.00394,3554.238,1,False,40
LLL_FFT_C0TT_1,649964,30.0021,3623.695,0,False,40
LLL_FFT_C0TT_1,749984,30.00737,3636.711,0,False,40
LLL_FFT_C0TT_1,849989,30.00235,3636.722,0,False,40
LLL_FFT_C0TT_1,949957,30.00843,3635.877,0,False,40
LLL_FFT_C0TT_1,1000122,30.01559,3643.495,0,False,40
