model_name,steps,time_elapsed,final_score,number_of_crashes,varying_wind, wind_strength
LLL_FFT_P0FF_1,49964,60.00374,7231.818,5,False,40
LLL_FFT_P0FF_1,149990,60.01015,8573.612,2,False,40
LLL_FFT_P0FF_1,249949,60.00491,8643.736,4,False,40
LLL_FFT_P0FF_1,349942,60.00231,10013.69,0,False,40
LLL_FFT_P0FF_1,449952,60.00792,9676.396,2,False,40
LLL_FFT_P0FF_1,549960,60.00364,9510.74,0,False,40
LLL_FFT_P0FF_1,649958,60.00796,10880.22,1,False,40
LLL_FFT_P0FF_1,749963,60.00698,11746.84,0,False,40
LLL_FFT_P0FF_1,849938,60.00363,13186.5,2,False,40
LLL_FFT_P0FF_1,949990,60.00084,15095.73,1,False,40
LLL_FFT_P0FF_1,1000029,60.00831,15819.27,0,False,40
