model_name,steps,time_elapsed,final_score,number_of_crashes,varying_wind, wind_strength
LLL_FFT_P0TT_2,49997,30.00603,3325.092,9,False,40
LLL_FFT_P0TT_2,149961,30.00385,5327.655,7,False,40
LLL_FFT_P0TT_2,249947,30.00517,6223.908,6,False,40
LLL_FFT_P0TT_2,349951,30.00001,5814.374,4,False,40
LLL_FFT_P0TT_2,449984,30.01083,7382.336,2,False,40
LLL_FFT_P0TT_2,549986,30.0027,6705.153,6,False,40
LLL_FFT_P0TT_2,649973,30.00476,6940.029,5,False,40
LLL_FFT_P0TT_2,749951,30.00191,8460.591,1,False,40
LLL_FFT_P0TT_2,849998,30.02317,6366.365,7,False,40
LLL_FFT_P0TT_2,949971,30.00428,6655.917,1,False,40
LLL_FFT_P0TT_2,1000059,30.00273,8297.05,1,False,40
