model_name,steps,time_elapsed,final_score,number_of_crashes,varying_wind, wind_strength
LLL_TFF_C0FF_1,49995,30.00605,3363.796,1,False,40
LLL_TFF_C0FF_1,149952,30.00016,3071.49,10,False,40
LLL_TFF_C0FF_1,249981,30.00083,2764.756,14,False,40
LLL_TFF_C0FF_1,349949,30.0051,2814.16,15,False,40
LLL_TFF_C0FF_1,449981,30.00379,3115.708,13,False,40
LLL_TFF_C0FF_1,549949,30.00223,3373.143,4,False,40
LLL_TFF_C0FF_1,649981,30.00319,3616.595,3,False,40
LLL_TFF_C0FF_1,749949,30.01076,3636.193,3,False,40
LLL_TFF_C0FF_1,849981,30.00434,3666.321,3,False,40
LLL_TFF_C0FF_1,949949,30.00257,3506.558,7,False,40
LLL_TFF_C0FF_1,1000061,30.00761,3528.361,3,False,40
