model_name,steps,time_elapsed,final_score,number_of_crashes,varying_wind, wind_strength
LLL_TFF_C0FT_1,49969,30.00408,3052.495,6,False,40
LLL_TFF_C0FT_1,149937,30.00167,3453.3,0,False,40
LLL_TFF_C0FT_1,249971,30.00395,3501.817,0,False,40
LLL_TFF_C0FT_1,349939,30.00217,3581.926,1,False,40
LLL_TFF_C0FT_1,449971,30.00351,3652.272,0,False,40
LLL_TFF_C0FT_1,549939,30.00086,3642.374,0,False,40
LLL_TFF_C0FT_1,649971,30.00147,3629.148,0,False,40
LLL_TFF_C0FT_1,749939,30.00013,3571.288,3,False,40
LLL_TFF_C0FT_1,849971,30.00892,3708.442,2,False,40
LLL_TFF_C0FT_1,949939,30.00168,3536.634,6,False,40
LLL_TFF_C0FT_1,1000051,30.00235,3593.342,3,False,40
