model_name,steps,time_elapsed,final_score,number_of_crashes,varying_wind, wind_strength
LLL_TFF_P0FT_1,49990,30.00468,3221.379,2,False,40
LLL_TFF_P0FT_1,149958,30.00067,3053.396,8,False,40
LLL_TFF_P0FT_1,249970,30.00758,2828.959,2,False,40
LLL_TFF_P0FT_1,349938,30.0063,3461.332,1,False,40
LLL_TFF_P0FT_1,449970,30.00336,3615.814,0,False,40
LLL_TFF_P0FT_1,549938,30.00698,3620.851,0,False,40
LLL_TFF_P0FT_1,649970,30.00384,3625.644,0,False,40
LLL_TFF_P0FT_1,749938,30.00276,3627.382,0,False,40
LLL_TFF_P0FT_1,849970,30.00639,3624.991,0,False,40
LLL_TFF_P0FT_1,949938,30.00624,3627.992,0,False,40
LLL_TFF_P0FT_1,1000050,30.00258,3627.351,0,False,40
