model_name,steps,time_elapsed,final_score,number_of_crashes,varying_wind, wind_strength
LLL_TFF_P0TF_1,49960,30.00499,2101.608,9,False,40
LLL_TFF_P0TF_1,149992,30.00414,2713.372,17,False,40
LLL_TFF_P0TF_1,249999,30.00324,2585.443,17,False,40
LLL_TFF_P0TF_1,349967,30.00563,2237.49,23,False,40
LLL_TFF_P0TF_1,449999,30.00679,1546.932,18,False,40
LLL_TFF_P0TF_1,549967,30.00301,2338.215,14,False,40
LLL_TFF_P0TF_1,649999,30.00501,3220.789,6,False,40
LLL_TFF_P0TF_1,749967,30.002,3490.295,5,False,40
LLL_TFF_P0TF_1,849999,30.00235,3532.694,6,False,40
LLL_TFF_P0TF_1,949967,30.00405,3583.879,3,False,40
LLL_TFF_P0TF_1,1000015,30.00114,3647.688,3,False,40
