model_name,steps,time_elapsed,final_score,number_of_crashes,varying_wind, wind_strength
LLL_TFF_P0TT_1,49941,30.0048,3534.938,0,False,40
LLL_TFF_P0TT_1,149973,30.00412,3516.202,1,False,40
LLL_TFF_P0TT_1,249941,30.00201,3446.959,1,False,40
LLL_TFF_P0TT_1,349950,30.01343,3347.636,5,False,40
LLL_TFF_P0TT_1,449990,30.00588,3728.22,0,False,40
LLL_TFF_P0TT_1,549939,30.00415,3593.577,4,False,40
LLL_TFF_P0TT_1,649978,30.00321,3665.548,2,False,40
LLL_TFF_P0TT_1,749962,30.00595,3605.981,4,False,40
LLL_TFF_P0TT_1,849952,30.0065,3581.214,3,False,40
LLL_TFF_P0TT_1,949939,30.00061,3619.367,4,False,40
LLL_TFF_P0TT_1,1000061,30.00142,3511.522,5,False,40
